Date	Treatment	Dye	Dilution	pop	count	Fungalight Green-H	Fungalight Red-H	sample
2023-11-20	10	PI	250	Intermediate	0	NA	NA	112023_dilutions_Experiment_Plate_10_250_p.fcs
2023-11-20	10	PI	250	unstained	10361	68	60	112023_dilutions_Experiment_Plate_10_250_p.fcs
2023-11-20	10	SYTO9	250	singlet	12315	3172	119	112023_dilutions_Experiment_Plate_10_250.fcs
2023-11-20	10	SYTO9	250	PI-positive	0	NA	NA	112023_dilutions_Experiment_Plate_10_250.fcs
2023-11-20	10	SYTO9	250	Intermediate	4448	7277.5	236	112023_dilutions_Experiment_Plate_10_250.fcs
2023-11-20	10	SYTO9	250	unstained	220	77	56	112023_dilutions_Experiment_Plate_10_250.fcs
2023-11-20	10	PI	500	singlet	10792	75	60	112023_dilutions_Experiment_Plate_10_500_p.fcs
2023-11-20	10	PI	500	PI-positive	133	75	1044	112023_dilutions_Experiment_Plate_10_500_p.fcs
2023-11-20	10	PI	500	Intermediate	0	NA	NA	112023_dilutions_Experiment_Plate_10_500_p.fcs
2023-11-20	10	PI	500	unstained	8314	69	59	112023_dilutions_Experiment_Plate_10_500_p.fcs
2023-11-20	10	SYTO9	500	singlet	12925	1586	81	112023_dilutions_Experiment_Plate_10_500.fcs
2023-11-20	10	SYTO9	500	PI-positive	1	276	172	112023_dilutions_Experiment_Plate_10_500.fcs
2023-11-20	10	SYTO9	500	Intermediate	1241	4941	196	112023_dilutions_Experiment_Plate_10_500.fcs
2023-11-20	10	SYTO9	500	unstained	647	75	57	112023_dilutions_Experiment_Plate_10_500.fcs
2023-11-20	100	PI	1000	singlet	12813	71	61	112023_dilutions_Experiment_Plate_100_1000_p.fcs
2023-11-20	100	PI	1000	PI-positive	311	69	1149	112023_dilutions_Experiment_Plate_100_1000_p.fcs
2023-11-20	100	PI	1000	Intermediate	0	NA	NA	112023_dilutions_Experiment_Plate_100_1000_p.fcs
2023-11-20	100	PI	1000	unstained	10117	66	59	112023_dilutions_Experiment_Plate_100_1000_p.fcs
2023-11-20	100	SYTO9	1000	singlet	11554	3920	115	112023_dilutions_Experiment_Plate_100_1000.fcs
2023-11-20	100	SYTO9	1000	PI-positive	0	NA	NA	112023_dilutions_Experiment_Plate_100_1000.fcs
2023-11-20	100	SYTO9	1000	Intermediate	3136	7763.5	209	112023_dilutions_Experiment_Plate_100_1000.fcs
2023-11-20	100	SYTO9	1000	unstained	42	78	63	112023_dilutions_Experiment_Plate_100_1000.fcs
2023-11-20	100	PI	2000	singlet	11231	73	60	112023_dilutions_Experiment_Plate_100_2000_p.fcs
2023-11-20	100	PI	2000	PI-positive	218	70.5	1107.5	112023_dilutions_Experiment_Plate_100_2000_p.fcs
2023-11-20	100	PI	2000	Intermediate	0	NA	NA	112023_dilutions_Experiment_Plate_100_2000_p.fcs
