Date	Treatment	Dye	name
022524	0	Both	022524_0mM_Both
022524	0	PI	022524_0mM_PI
022524	0.6	Both	022524_0.6mM_Both
022524	0.6	PI	022524_0.6mM_PI
022524	1000	Both	022524_1M_Both
022524	1000	PI	022524_1M_PI
022524	5C	Both	022524_5CmM_Both
022524	5C	PI	022524_5CmM_PI
022524	6	Both	022524_6mM_Both
022524	6	PI	022524_6mM_PI
022624	0	Both	022624_0mM_Both
022624	0	PI	022624_0mM_PI
022624	0.6	Both	022624_0.6mM_Both
022624	0.6	PI	022624_0.6mM_PI
022624	1000	Both	022624_1M_Both
022624	1000	PI	022624_1M_PI
022624	5C	Both	022624_5CmM_Both
022624	5C	PI	022624_5CmM_PI
022624	6	Both	022624_6mM_Both
022624	6	PI	022624_6mM_PI
022824	0	Both	022824_0mM_Both
022824	0	PI	022824_0mM_PI
022824	0.6	Both	022824_0.6mM_Both
022824	0.6	PI	022824_0.6mM_PI
022824	1000	Both	022824_1M_Both
022824	1000	PI	022824_1M_PI
022824	5C	Both	022824_5CmM_Both
022824	5C	PI	022824_5CmM_PI
022824	6	Both	022824_6mM_Both
022824	6	PI	022824_6mM_PI
