date	buffer	treatment	dye	name
2024-01-10	Saline	1000	SYTO9	0110sa_1000_s
2024-01-10	SD media	0	Both	0110sc_0_b
2024-01-10	SD media	0	PI	0110sc_0_p
2024-01-10	SD media	0	SYTO9	0110sc_0_s
2024-01-10	SD media	10	Both	0110sc_10_b
2024-01-10	SD media	10	PI	0110sc_10_p
2024-01-10	SD media	10	SYTO9	0110sc_10_s
2024-01-10	SD media	100	Both	0110sc_100_b
2024-01-10	SD media	100	PI	0110sc_100_p
2024-01-10	SD media	100	SYTO9	0110sc_100_s
2024-01-10	SD media	1000	Both	0110sc_1000_b
2024-01-10	SD media	1000	PI	0110sc_1000_p
2024-01-10	SD media	1000	SYTO9	0110sc_1000_s
2024-01-10	ddH2O	0	Both	0110w_0_b
2024-01-10	ddH2O	0	PI	0110w_0_p
2024-01-10	ddH2O	0	SYTO9	0110w_0_s
2024-01-10	ddH2O	10	Both	0110w_10_b
2024-01-10	ddH2O	10	PI	0110w_10_p
2024-01-10	ddH2O	10	SYTO9	0110w_10_s
2024-01-10	ddH2O	100	Both	0110w_100_b
2024-01-10	ddH2O	100	PI	0110w_100_p
2024-01-10	ddH2O	100	SYTO9	0110w_100_s
2024-01-10	ddH2O	1000	Both	0110w_1000_b
2024-01-10	ddH2O	1000	PI	0110w_1000_p
2024-01-10	ddH2O	1000	SYTO9	0110w_1000_s
