Date	Treatment	Dye	name
021424	0	Both	021424_0mM_Both
021424	100	Both	021424_100mM_Both
021424	1000	Both	021424_1000mM_Both
021624	0	Both	021624_0mM_Both
021624	100	Both	021624_100mM_Both
021624	1000	Both	021624_1000mM_Both
021724	0	Both	021724_0mM_Both
021724	100	Both	021724_100mM_Both
021724	1000	Both	021724_1000mM_Both
