Date	Treatment	Dye	total_event_count	p_live	p_intermediate	p_dead
022524	0	Both	17040	0.9529929577464789	0.04184272300469483	0.005164319248826314
022524	0	PI	15949	0.9949840115367735	0	0.005015988463226484
022524	0.6	Both	16016	0.9551073926073926	0.013424075924075924	0.031468531468531444
022524	0.6	PI	15526	0.9703722787582121	0	0.02962772124178792
022524	1000	Both	17246	0.0016815493447756	1.739533804940276e-4	0.9981444972747304
022524	1000	PI	17580	0.0029579067121729237	0	0.9970420932878271
022524	5C	Both	15853	0.9588090582224185	0.00769570428310099	0.033495237494480544
022524	5C	PI	15678	0.9711697920653145	0	0.028830207934685492
022524	6	Both	16496	0.8535402521823472	0.1371847720659554	0.009274975751697417
022524	6	PI	16108	0.9459895703998014	0	0.05401042960019864
022624	0	Both	16913	0.9335422456098859	0.061195530065629986	0.005262224324484158
022624	0	PI	16327	0.9945489067189318	0	0.005451093281068187
022624	0.6	Both	15501	0.9665182891426359	0.019160054190052254	0.014321656667311812
022624	0.6	PI	15341	0.9848771266540642	0	0.015122873345935761
022624	1000	Both	17982	8.341675008341675e-4	5.561116672227783e-4	0.998609720831943
022624	1000	PI	17101	0.0021051400502894568	0	0.9978948599497105
022624	5C	Both	16761	0.9684386373128095	0.02082214664996122	0.010739216037229233
022624	5C	PI	16187	0.990733304503614	0	0.009266695496386035
022624	6	Both	15729	0.7519231991862165	0.23561574162375232	0.012461059190031154
022624	6	PI	16612	0.9644835058993498	0	0.035516494100650164
022824	0	Both	14650	0.9339249146757679	0.06136518771331058	0.00470989761092154
022824	0	PI	14949	0.9876914843802261	0	0.012308515619773863
022824	0.6	Both	13082	0.9727870356214646	0.022473627885644398	0.004739336492890978
022824	0.6	PI	12354	0.9834061842318278	0	0.016593815768172204
022824	1000	Both	14528	0.011219713656387666	0.021475770925110133	0.9673045154185023
022824	1000	PI	13836	0.021610291991905176	0	0.9783897080080948
022824	5C	Both	13596	0.9375551632833187	0.0520005884083554	0.01044424830832593
022824	5C	PI	13460	0.9812035661218425	0	0.018796433878157548
022824	6	Both	13891	0.7837448707796415	0.20862428910805558	0.007630840112302917
022824	6	PI	13308	0.9960174331229336	0	0.00398256687706644
