Date	Treatment	Dilution	Raw_count	CFU	p_live	Method
2024-02-14	0	1000	83	83000	1	CFU
2024-02-14	100	1000	5	5000	0.060240963855421686	CFU
2024-02-14	1000	1000	0	0	0	CFU
2024-02-16	0	1000	84	84000	1	CFU
2024-02-16	100	1000	6	6000	0.07142857142857142	CFU
2024-02-16	1000	1000	0	0	0	CFU
2024-02-17	0	1000	71	71000	1	CFU
2024-02-17	100	1000	9	9000	0.1267605633802817	CFU
2024-02-17	1000	1000	0	0	0	CFU
