Date	Treatment	Method	total_event_count	p_live	p_intermediate	p_dead
2024-02-14	0	SYTO 9/PI	19506	0.9903106736388804	0.0027683789603199014	0.00692094740079973
2024-02-14	100	SYTO 9/PI	19398	0.42427054335498504	0.5562429116403753	0.019486545004639644
2024-02-14	1000	SYTO 9/PI	19824	7.566585956416465e-4	5.0443906376109764e-5	0.9991928974979822
2024-02-16	0	SYTO 9/PI	19295	0.9883389479139674	0.007877688520342058	0.003783363565690572
2024-02-16	100	SYTO 9/PI	19702	0.7199269109735053	0.24317328190031468	0.03689980712618007
2024-02-16	1000	SYTO 9/PI	19173	0.0014082303238929744	1.0431335732540551e-4	0.9984874563187817
2024-02-17	0	SYTO 9/PI	18130	0.7222283507997793	0.27330391616105904	0.004467733039161648
2024-02-17	100	SYTO 9/PI	18879	0.5759838974521956	0.406642300969331	0.017373801578473402
2024-02-17	1000	SYTO 9/PI	18148	3.857174344280361e-4	5.5102490632576594e-5	0.9995591800749394
