Date	Treatment	Dye	pop	count	Fungalight Green-H	Fungalight Red-H	sample
021424	0	Both	singlet	19506	268.09642028808594	69.13884735107422	021424_0mM_Both
021424	0	Both	intermediate	106	3679.2899169921875	209.5422592163086	021424_0mM_Both
021424	0	Both	live	19114	263.7522735595703	68.37026596069336	021424_0mM_Both
021424	0	PI	singlet	18226	93.98137664794922	66.91947937011719	021424_0mM_PI
021424	0	PI	intermediate	0	NA	NA	021424_0mM_PI
021424	0	PI	live	17884	93.52760696411133	66.3194465637207	021424_0mM_PI
021424	10	Both	singlet	18878	684.9883728027344	65.910430908203125	021424_10mM_Both
021424	10	Both	intermediate	141	7477.142578125	236.44932556152344	021424_10mM_Both
021424	10	Both	live	18411	673.833740234375	65.18419647216797	021424_10mM_Both
021424	10	PI	singlet	17903	87.33016204833984	59.86199188232422	021424_10mM_PI
021424	10	PI	intermediate	0	NA	NA	021424_10mM_PI
021424	10	PI	live	17157	86.00540924072266	58.58015441894531	021424_10mM_PI
021424	100	Both	singlet	19398	8901.33251953125	243.0288314819336	021424_100mM_Both
021424	100	Both	intermediate	12056	12698.13134765625	337.1446228027344	021424_100mM_Both
021424	100	Both	live	6883	147.72860717773438	81.37737274169922	021424_100mM_Both
021424	100	PI	singlet	19074	96.195556640625	71.7600212097168	021424_100mM_PI
021424	100	PI	intermediate	0	NA	NA	021424_100mM_PI
021424	100	PI	live	18491	95.460693359375	70.74030303955078	021424_100mM_PI
021424	1000	Both	singlet	19824	1028.5748901367188	1260.6791381835938	021424_1000mM_Both
021424	1000	Both	intermediate	1	14021.6728515625	277.4162292480469	021424_1000mM_Both
021424	1000	Both	live	2	589.2346496582031	143.9924774169922	021424_1000mM_Both
021424	1000	PI	singlet	18218	113.6116828918457	1079.2977294921875	021424_1000mM_PI
021424	1000	PI	intermediate	0	NA	NA	021424_1000mM_PI
021424	1000	PI	live	19	95.30608367919922	63.23625183105469	021424_1000mM_PI
021424	5C	Both	singlet	18656	282.93113708496094	62.312673568725586	021424_5C_Both
021424	5C	Both	intermediate	71	15273.5859375	672.891845703125	021424_5C_Both
021424	5C	Both	live	18231	279.3946228027344	61.625789642333984	021424_5C_Both
021424	5C	PI	singlet	19511	89.616180419921875	63.437767028808594	021424_5C_PI
021424	5C	PI	intermediate	0	NA	NA	021424_5C_PI
021424	5C	PI	live	18990	89.05974960327148	62.657480239868164	021424_5C_PI
021624	0	Both	singlet	19295	1102.2896728515625	82.73932647705078	021624_0mM_Both
021624	0	Both	intermediate	565	2510.7958984375	176.1466522216797	021624_0mM_Both
021624	0	Both	live	18511	1070.3092041015625	81.04532623291016	021624_0mM_Both
021624	0	PI	singlet	18671	91.614959716796875	69.67387390136719	021624_0mM_PI
021624	0	PI	intermediate	0	NA	NA	021624_0mM_PI
021624	0	PI	live	18343	91.18254089355469	69.0523910522461	021624_0mM_PI
021624	10	Both	singlet	18492	1465.9383544921875	78.77287292480469	021624_10mM_Both
021624	10	Both	intermediate	263	2199.236083984375	174.28176879882812	021624_10mM_Both
021624	10	Both	live	17982	1455.6885375976562	77.91802978515625	021624_10mM_Both
021624	10	PI	singlet	18092	76.85647201538086	58.88874816894531	021624_10mM_PI
021624	10	PI	intermediate	0	NA	NA	021624_10mM_PI
021624	10	PI	live	17825	76.6677474975586	58.46826934814453	021624_10mM_PI
021624	100	Both	singlet	19702	4593.98974609375	139.00791931152344	021624_100mM_Both
021624	100	Both	intermediate	7252	7338.97119140625	212.63361358642578	021624_100mM_Both
021624	100	Both	live	11609	2500.87841796875	99.49797821044922	021624_100mM_Both
021624	100	PI	singlet	19091	95.79927825927734	74.56011962890625	021624_100mM_PI
021624	100	PI	intermediate	0	NA	NA	021624_100mM_PI
021624	100	PI	live	18098	95.02850723266602	72.40179824829102	021624_100mM_PI
021624	1000	Both	singlet	19173	1815.081298828125	1830.8519287109375	021624_1000mM_Both
021624	1000	Both	intermediate	4	7021.6455078125	203.34380340576172	021624_1000mM_Both
021624	1000	Both	live	24	967.1767272949219	78.65108108520508	021624_1000mM_Both
021624	1000	PI	singlet	19274	100.3667221069336	1359.4445190429688	021624_1000mM_PI
021624	1000	PI	intermediate	0	NA	NA	021624_1000mM_PI
021624	1000	PI	live	53	97.71984100341797	70.96538543701172	021624_1000mM_PI
021624	5C	Both	singlet	18910	873.91558837890625	70.35609817504883	021624_5C_Both
021624	5C	Both	intermediate	123	2604.820068359375	181.17117309570312	021624_5C_Both
021624	5C	Both	live	18598	867.25140380859375	69.84614181518555	021624_5C_Both
021624	5C	PI	singlet	17623	77.94816589355469	59.10004806518555	021624_5C_PI
021624	5C	PI	intermediate	0	NA	NA	021624_5C_PI
021624	5C	PI	live	17429	77.77177429199219	58.741554260253906	021624_5C_PI
021724	0	Both	singlet	18130	3174.3985595703125	135.4622573852539	021724_0mM_Both
021724	0	Both	intermediate	6399	4625.7158203125	199.9503173828125	021724_0mM_Both
021724	0	Both	live	11628	2668.9549560546875	109.55744934082031	021724_0mM_Both
021724	0	PI	singlet	18703	86.6736068725586	65.02732849121094	021724_0mM_PI
021724	0	PI	intermediate	0	NA	NA	021724_0mM_PI
021724	0	PI	live	18482	86.41925811767578	64.65114974975586	021724_0mM_PI
021724	10	Both	singlet	18133	2464.48291015625	108.7855224609375	021724_10mM_Both
021724	10	Both	intermediate	1857	3019.00244140625	175.01409912109375	021724_10mM_Both
021724	10	Both	live	16106	2406.696533203125	103.51110076904297	021724_10mM_Both
021724	10	PI	singlet	18113	74.72148132324219	57.64736557006836	021724_10mM_PI
021724	10	PI	intermediate	0	NA	NA	021724_10mM_PI
021724	10	PI	live	17883	74.53629302978516	57.23899841308594	021724_10mM_PI
021724	100	Both	singlet	18879	6457.93359375	176.78775024414062	021724_100mM_Both
021724	100	Both	intermediate	10288	8657.2578125	237.77767944335938	021724_100mM_Both
021724	100	Both	live	8171	2183.09619140625	99.97635650634766	021724_100mM_Both
021724	100	PI	singlet	19277	93.82881927490234	71.51336669921875	021724_100mM_PI
021724	100	PI	intermediate	0	NA	NA	021724_100mM_PI
021724	100	PI	live	18768	93.3090705871582	70.45602035522461	021724_100mM_PI
021724	1000	Both	singlet	18148	4168.96875	2766.48779296875	021724_1000mM_Both
021724	1000	Both	intermediate	2	5999.2060546875	571.22686767578125	021724_1000mM_Both
021724	1000	Both	live	5	267.29315185546875	113.43390655517578	021724_1000mM_Both
021724	1000	PI	singlet	18735	101.38520050048828	1548.111572265625	021724_1000mM_PI
021724	1000	PI	intermediate	0	NA	NA	021724_1000mM_PI
021724	1000	PI	live	35	90.851043701171875	65.41608428955078	021724_1000mM_PI
021724	5C	Both	singlet	17599	2683.84912109375	121.95006561279297	021724_5C_Both
021724	5C	Both	intermediate	3377	3467.721435546875	183.7962188720703	021724_5C_Both
021724	5C	Both	live	13080	2449.1104736328125	106.9920883178711	021724_5C_Both
021724	5C	PI	singlet	18001	79.38350677490234	59.777828216552734	021724_5C_PI
021724	5C	PI	intermediate	0	NA	NA	021724_5C_PI
021724	5C	PI	live	17329	78.6072769165039	58.67109298706055	021724_5C_PI
