Date	Treatment	Dye	total_event_count	p_live	p_intermediate	p_dead
021424	0	Both	19506	0.9799036193991593	0.005434225366553881	0.014662155234286853
021424	0	PI	18226	0.9812355974980796	0	0.018764402501920352
021424	10	Both	18878	0.9752622099798708	0.007469011547833457	0.017268778472295757
021424	10	PI	17903	0.958331005976652	0	0.041668994023348005
021424	100	Both	19398	0.3548303948860707	0.6215073718940097	0.02366223321991956
021424	100	PI	19074	0.9694348327566321	0	0.030565167243367886
021424	1000	Both	19824	1.0088781275221953e-4	5.0443906376109764e-5	0.9998486682808717
021424	1000	PI	18218	0.0010429245800856297	0	0.9989570754199144
021424	5C	Both	18656	0.9772191252144082	0.003805746140651801	0.018975128644939963
021424	5C	PI	19511	0.97329711444826	0	0.026702885551740052
021624	0	Both	19295	0.9593677118424462	0.02928219746048199	0.011350090697071831
021624	0	PI	18671	0.9824326495634942	0	0.017567350436505813
021624	10	Both	18492	0.972420506164828	0.014222366428725935	0.013357127406446062
021624	10	PI	18092	0.9852420959540128	0	0.014757904045987202
021624	100	Both	19702	0.5892295198457009	0.36808445843061616	0.04268602172368291
021624	100	PI	19091	0.9479859619716097	0	0.05201403802839033
021624	1000	Both	19173	0.0012517602879048662	2.0862671465081103e-4	0.9985396129974443
021624	1000	PI	19274	0.0027498184082183253	0	0.9972501815917817
021624	5C	Both	18910	0.9835007932310946	0.006504494976203068	0.009994711792702305
021624	5C	PI	17623	0.9889916586279294	0	0.011008341372070629
021724	0	Both	18130	0.6413678985107557	0.3529509100937672	0.00568119139547707
021724	0	PI	18703	0.988183713842699	0	0.011816286157301015
021724	10	Both	18133	0.8882148568907516	0.10240997077152153	0.009375172337726834
021724	10	PI	18113	0.9873019378347043	0	0.012698062165295676
021724	100	Both	18879	0.43280894115154406	0.5449441178028497	0.022246941045606206
021724	100	PI	19277	0.9735954764745551	0	0.026404523525444867
021724	1000	Both	18148	2.75512453162883e-4	1.1020498126515319e-4	0.9996142825655719
021724	1000	PI	18735	0.0018681611956231651	0	0.9981318388043768
021724	5C	Both	17599	0.7432240468208421	0.19188590260810273	0.06489005057105518
021724	5C	PI	18001	0.9626687406255208	0	0.03733125937447923
